epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,2706.14,1.08912,0.49781,1.03885,0.99111,1,0.99388,0.70863,1.01752,0.42353,1.06744,0.0002972,0.0002972,0.0002972
88,2736.3,1.10754,0.49825,1.05982,0.992,0.99992,0.99436,0.70853,1.0181,0.42742,1.06849,0.0002774,0.0002774,0.0002774
89,2767.82,1.06786,0.47444,1.03767,0.99133,1,0.99412,0.72599,0.97928,0.41619,1.05837,0.0002576,0.0002576,0.0002576
90,2799.44,1.07867,0.48669,1.04189,0.99142,1,0.9938,0.70866,1.01556,0.41638,1.07521,0.0002378,0.0002378,0.0002378
91,2829.52,1.06392,0.4341,1.04515,0.99156,1,0.99436,0.72146,0.99629,0.41298,1.06066,0.000218,0.000218,0.000218
92,2859.8,1.0456,0.43275,1.03899,0.99104,1,0.99436,0.71005,1.03983,0.42234,1.07747,0.0001982,0.0001982,0.0001982
93,2889.89,1.03769,0.42381,1.03602,0.99122,1,0.99428,0.72548,0.98928,0.412,1.06355,0.0001784,0.0001784,0.0001784
94,2919.97,1.02829,0.42601,1.03144,0.99124,1,0.99412,0.71913,1.02431,0.42073,1.07522,0.0001586,0.0001586,0.0001586
95,2950.2,1.02316,0.42428,1.02204,0.99059,1,0.99428,0.7307,0.9826,0.40712,1.06289,0.0001388,0.0001388,0.0001388
96,2980.86,1.01337,0.41678,1.02601,0.99109,1,0.99404,0.72276,1.01496,0.409,1.07557,0.000119,0.000119,0.000119
97,3011.12,1.02371,0.41924,1.0283,0.99142,1,0.99404,0.72098,0.97978,0.39779,1.06185,9.92e-05,9.92e-05,9.92e-05
98,3041.91,1.009,0.41583,1.01396,0.99128,1,0.99404,0.71863,1.01018,0.40941,1.07077,7.94e-05,7.94e-05,7.94e-05
99,3071.39,1.01497,0.41771,1.02377,0.99142,1,0.99404,0.72472,1.01574,0.4088,1.06767,5.96e-05,5.96e-05,5.96e-05
100,3100.66,0.98212,0.40951,1.01418,0.99147,1,0.99404,0.72342,0.99985,0.40395,1.06312,3.98e-05,3.98e-05,3.98e-05
